Name,Country,Latitude,Longitude,Language
Abidjan,Côte d'Ivoire,5.42029540,-4.06497607,fr
Gbôclé,Côte d'Ivoire,5.27131983,-5.97294753,fr
Nawa,Côte d'Ivoire,5.85738746,-6.66304439,fr
San pedro,Côte d'Ivoire,5.02486875,-7.03156697,fr
Indenie djuablin,Côte d'Ivoire,6.70100597,-3.42233841,fr
Sud Comoe,Côte d'Ivoire,5.49245005,-3.20186897,fr
Folon,Côte d'Ivoire,10.10276734,-7.39964205,fr
Kabadougou,Côte d'Ivoire,9.41123697,-7.38807084,fr
Gôh,Côte d'Ivoire,6.22131337,-5.86371478,fr
Lôh-djiboua,Côte d'Ivoire,5.74370246,-5.40568645,fr
Belier,Côte d'Ivoire,6.91786709,-5.03206368,fr
Iffou,Côte d'Ivoire,7.47719746,-4.05961001,fr
Moronou,Côte d'Ivoire,6.59840612,-4.23525329,fr
N'Zi,Côte d'Ivoire,6.97405204,-4.55604076,fr
Agneby Tiassa,Côte d'Ivoire,5.93557231,-4.52857120,fr
Grands Ponts,Côte d'Ivoire,5.36619137,-4.75315715,fr
La Me,Côte d'Ivoire,6.02906695,-3.76324828,fr
Cavally,Côte d'Ivoire,6.33397782,-7.68215668,fr
Guemon,Côte d'Ivoire,7.00933048,-7.31830559,fr
Tonkpi,Côte d'Ivoire,7.46494100,-7.82236443,fr
Haut Sassandra,Côte d'Ivoire,7.02249900,-6.60260136,fr
Marahoue,Côte d'Ivoire,7.10996595,-5.89333900,fr
Bagoue,Côte d'Ivoire,9.86139281,-6.47264384,fr
Poro,Côte d'Ivoire,9.41244169,-5.83309422,fr
Tchologo,Côte d'Ivoire,9.50509080,-4.81985728,fr
Gbêke,Côte d'Ivoire,7.69439702,-5.18699343,fr
Hambol,Côte d'Ivoire,8.52511289,-4.83822122,fr
Bafing,Côte d'Ivoire,8.38222967,-7.62139626,fr
Bere,Côte d'Ivoire,8.36297904,-6.03620404,fr
Worodougou,Côte d'Ivoire,8.37221140,-6.76035235,fr
Yamoussoukro,Côte d'Ivoire,6.86233207,-5.26873731,fr
Bounkani,Côte d'Ivoire,9.17199815,-3.44774666,fr
Gontougo,Côte d'Ivoire,7.99545737,-3.21286849,fr
