Name,Country,Latitude,Longitude,Language
Central,LK,7.291418,80.636696,en
Eastern,LK,7.713054,81.674728,en
Northern,LK,9.268255,80.814249,en
Southern,LK,6.053519,80.220977,en
Western,LK,6.927079,79.861243,en
North Western,LK,7.940338,80.247860,en
North Central,LK,8.311351,80.403650,en
Uva,LK,6.971684,81.124128,en
Sabaragamuwa,LK,6.705619,80.384738,en
